ls,min_temp,max_temp,pressure,storming
298,-73.0,-3.0,862.0,False
298,-74.0,-5.0,868.0,False
297,-72.0,-3.0,866.0,False
296,-72.0,-1.0,869.0,False
296,-73.0,0.0,871.0,False
295,-72.0,4.0,868.0,False
295,-74.0,-2.0,872.0,False
294,-81.0,-6.0,869.0,False
293,-70.0,-3.0,873.0,False
293,-71.0,-6.0,873.0,False
292,-70.0,-4.0,873.0,False
291,-71.0,-5.0,876.0,False
291,-70.0,-5.0,872.0,False
290,-76.0,-6.0,876.0,False
290,-72.0,-6.0,874.0,False
289,-70.0,-7.0,877.0,False
288,-75.0,-6.0,879.0,False
288,-73.0,-5.0,877.0,False
287,-77.0,-8.0,877.0,False
286,-76.0,-10.0,877.0,False
286,-76.0,-7.0,879.0,False
285,-72.0,-6.0,880.0,False
284,-70.0,-6.0,883.0,False
284,-72.0,-5.0,883.0,False
283,-71.0,-6.0,883.0,False
283,-70.0,-7.0,882.0,False
282,-77.0,-9.0,884.0,False
281,-74.0,-6.0,886.0,False
281,-71.0,0.0,886.0,False
280,-71.0,-1.0,888.0,False
279,-76.0,-2.0,887.0,False
279,-76.0,-8.0,887.0,False
278,-75.0,-8.0,887.0,False
277,-73.0,-7.0,889.0,False
277,-73.0,3.0,891.0,False
276,-71.0,1.0,894.0,True
276,-74.0,-7.0,896.0,True
275,-73.0,-9.0,895.0,True
274,-76.0,-8.0,895.0,True
274,-72.0,-3.0,896.0,True
273,-74.0,-1.0,896.0,True
272,-73.0,-3.0,898.0,True
272,-74.0,-7.0,900.0,True
271,-71.0,-4.0,901.0,False
270,-73.0,-1.0,900.0,False
270,-73.0,-2.0,898.0,False
269,-72.0,-4.0,896.0,False
268,-72.0,-3.0,900.0,False
268,-76.0,-10.0,900.0,False
267,-71.0,-4.0,899.0,False
267,-73.0,3.0,900.0,False
266,-72.0,-4.0,898.0,False
265,-71.0,-6.0,900.0,False
265,-72.0,-2.0,900.0,False
264,-74.0,-2.0,902.0,False
263,-76.0,-4.0,904.0,False
263,-77.0,-10.0,905.0,False
262,-71.0,-2.0,905.0,False
261,-71.0,-1.0,905.0,False
261,-73.0,-2.0,905.0,False
260,-72.0,5.0,906.0,False
259,-78.0,-8.0,909.0,False
259,-76.0,2.0,911.0,False
258,-71.0,4.0,909.0,False
257,-76.0,3.0,906.0,False
257,-73.0,0.0,906.0,False
256,-74.0,-1.0,907.0,False
255,-78.0,0.0,906.0,False
255,-77.0,0.0,908.0,False
254,-70.0,2.0,908.0,False
254,-70.0,3.0,910.0,False
253,-70.0,-2.0,907.0,False
252,-70.0,-3.0,907.0,False
252,-71.0,-1.0,907.0,False
251,-69.0,2.0,906.0,False
250,-69.0,-1.0,910.0,False
250,-70.0,3.0,909.0,False
249,-69.0,0.0,907.0,False
248,-69.0,3.0,903.0,False
248,-70.0,-4.0,903.0,False
247,-69.0,-2.0,903.0,False
246,-68.0,-9.0,907.0,False
246,-68.0,-5.0,909.0,False
245,-72.0,-8.0,906.0,False
244,-71.0,-7.0,903.0,False
244,-70.0,-8.0,904.0,False
243,-70.0,-11.0,905.0,False
242,-68.0,-10.0,910.0,False
242,-69.0,-8.0,906.0,False
241,-66.0,-10.0,904.0,False
240,-68.0,-8.0,903.0,False
240,-69.0,-6.0,902.0,False
239,-68.0,-5.0,901.0,False
239,-71.0,-1.0,901.0,False
238,-71.0,3.0,899.0,False
237,-68.0,4.0,895.0,False
